1,Antoni,Łyś,+48740550863
2,Cezary,Golus,+48858086729
3,Igor,Folta,+48961049204
4,Tymoteusz,Fydrych,+48199547996
5,Hubert,Zębik,+48503590857
6,Igor,Powałka,+48822023595
7,Marcel,Stępka,+48506255700
8,Juliusz,Natanek,+48692031821
9,Ada,Grund,+48759214367
10,Aurelia,Szyc,+48786795676
11,Ksawery,Kozieja,+48694776445
12,Krzysztof,Wałek,+48725081138
13,Robert,Szaruga,+48178489981
14,Adrian,Franas,+48804535514
15,Alex,Pędrak,+48208345204
16,Julianna,Makosz,+48538719729
17,Norbert,Kaczmarkiewicz,+48841008732
18,Józef,Salwin,+48141701578
19,Nataniel,Nalazek,+48499934130
20,Bartek,Zuziak,+48336483692
21,Ksawery,Świech,+48250546301
22,Agnieszka,Cięciwa,+48694677234
23,Sebastian,Krajniak,+48985749599
24,Tobiasz,Kukier,+48145595413
25,Robert,Rorat,+48570317348
26,Kamil,Słupik,+48331314695
27,Juliusz,Galos,+48904095821
28,Maks,Brachaczek,+48556120221
29,Ryszard,Tadych,+48661892844
30,Marika,Białka,+48619127507
31,Marcin,Stanclik,+48846845885
32,Tola,Wężyk,+48850826164
33,Anita,Sławik,+48828039002
34,Andrzej,Bohdanowicz,+48396869938
35,Marcel,Łukowiak,+48408042406
36,Wiktor,Minta,+48164134474
37,Maks,Szyja,+48854646867
38,Urszula,Nytko,+48326931212
39,Olaf,Kopczyk,+48908394412
40,Olgierd,Kaczmar,+48927863938
41,Radosław,Wojtyś,+48945437213
42,Marcin,Nurkiewicz,+48348699595
43,Aleksander,Broniarek,+48574725535
44,Maks,Wyderka,+48120494941
45,Roksana,Błaszyk,+48283524528
46,Aniela,Mizia,+48104134174
47,Artur,Skierka,+48769491238
48,Tola,Stawowczyk,+48598232975
49,Apolonia,Lizurej,+48964405299
50,Natan,Wiaderek,+48600073952
51,Iwo,Listwan,+48519629255
52,Tadeusz,Pilarek,+48181330008
53,Iwo,Jaremek,+48180360497
54,Maksymilian,Miecznik,+48746752875
55,Nikodem,Barłóg,+48815834581
56,Aurelia,Moj,+48490928015
57,Kamil,Strzyż,+48352464867
58,Karina,Joszko,+48214808307
59,Dominik,Twardosz,+48122406438
60,Nela,Wojtaszczyk,+48225231792
61,Liwia,Bytner,+48558551945
62,Ignacy,Milcarz,+48816666658
63,Filip,Hanc,+48387134422
64,Łukasz,Cieniuch,+48683447822
